airline,source_city,destination_city,departure_time,arrival_time,stops,class,days_before_departure,duration_hours,fare_inr
GoFirst,Pune,Goa,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,19,3.0,5557
IndiGo,Jaipur,Delhi,Evening (18-21),Evening (18-21),non-stop,Economy,59,0.8,4499
SpiceJet,Hyderabad,Jaipur,Morning (06-12),Morning (06-12),1 stop,Economy,41,3.5,6074
AirAsia India,Bangalore,Mumbai,Night (21-00),Early Morning (00-06),1 stop,Economy,20,2.9,4200
GoFirst,Jaipur,Goa,Evening (18-21),Night (21-00),1 stop,Economy,65,2.7,4991
SpiceJet,Goa,Hyderabad,Night (21-00),Night (21-00),non-stop,Business,38,1.8,8414
Vistara,Pune,Ahmedabad,Evening (18-21),Evening (18-21),non-stop,Economy,45,1.4,7720
IndiGo,Delhi,Jaipur,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,6,0.8,3609
AirAsia India,Bangalore,Chennai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,46,1.9,3599
GoFirst,Chennai,Delhi,Morning (06-12),Morning (06-12),non-stop,Business,9,1.3,11886
IndiGo,Ahmedabad,Chennai,Afternoon (12-18),Evening (18-21),2+ stops,Economy,39,4.8,5140
SpiceJet,Delhi,Jaipur,Evening (18-21),Evening (18-21),1 stop,Business,61,2.0,5027
IndiGo,Goa,Pune,Evening (18-21),Night (21-00),1 stop,Economy,46,3.0,5281
Air India,Mumbai,Bangalore,Evening (18-21),Evening (18-21),non-stop,Economy,82,1.5,7150
Vistara,Delhi,Mumbai,Evening (18-21),Night (21-00),non-stop,Economy,39,2.4,8353
Air India,Mumbai,Hyderabad,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,51,3.0,7041
Vistara,Bangalore,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,3,1.7,6426
IndiGo,Jaipur,Bangalore,Afternoon (12-18),Evening (18-21),1 stop,Economy,90,4.2,6527
IndiGo,Kolkata,Chennai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,73,2.2,6045
Vistara,Mumbai,Hyderabad,Afternoon (12-18),Afternoon (12-18),1 stop,Business,63,2.9,10193
Air India,Ahmedabad,Chennai,Evening (18-21),Evening (18-21),non-stop,Economy,47,1.7,7850
SpiceJet,Delhi,Mumbai,Night (21-00),Early Morning (00-06),1 stop,Business,56,3.5,9154
Vistara,Delhi,Bangalore,Night (21-00),Night (21-00),non-stop,Business,67,1.4,10140
SpiceJet,Kolkata,Bangalore,Morning (06-12),Morning (06-12),non-stop,Economy,30,2.7,8299
GoFirst,Goa,Chennai,Afternoon (12-18),Evening (18-21),2+ stops,Economy,73,4.3,4757
GoFirst,Kolkata,Hyderabad,Night (21-00),Early Morning (00-06),non-stop,Economy,34,2.0,5743
SpiceJet,Bangalore,Mumbai,Night (21-00),Night (21-00),non-stop,Economy,46,1.2,5158
SpiceJet,Pune,Hyderabad,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,13,0.8,5005
SpiceJet,Delhi,Hyderabad,Evening (18-21),Evening (18-21),non-stop,Economy,24,1.5,6513
GoFirst,Ahmedabad,Chennai,Early Morning (00-06),Early Morning (00-06),1 stop,Business,64,3.3,7005
AirAsia India,Kolkata,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,56,3.6,5515
Vistara,Kolkata,Delhi,Afternoon (12-18),Afternoon (12-18),1 stop,Business,52,3.4,12588
Air India,Hyderabad,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,15,0.9,6254
SpiceJet,Mumbai,Delhi,Afternoon (12-18),Evening (18-21),2+ stops,Economy,51,5.3,5852
GoFirst,Bangalore,Goa,Evening (18-21),Evening (18-21),non-stop,Economy,72,0.9,4030
AirAsia India,Pune,Mumbai,Night (21-00),Night (21-00),non-stop,Business,10,0.8,3686
Vistara,Mumbai,Goa,Afternoon (12-18),Afternoon (12-18),non-stop,Business,47,1.7,11297
GoFirst,Ahmedabad,Jaipur,Night (21-00),Night (21-00),1 stop,Economy,1,2.5,5042
IndiGo,Mumbai,Chennai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,60,1.8,5590
GoFirst,Bangalore,Pune,Morning (06-12),Morning (06-12),non-stop,Economy,16,1.0,5580
Air India,Ahmedabad,Mumbai,Afternoon (12-18),Afternoon (12-18),1 stop,Business,55,2.9,10418
GoFirst,Pune,Delhi,Early Morning (00-06),Early Morning (00-06),1 stop,Business,21,3.4,8301
IndiGo,Kolkata,Delhi,Morning (06-12),Morning (06-12),1 stop,Economy,52,3.4,7032
Air India,Hyderabad,Kolkata,Evening (18-21),Night (21-00),non-stop,Economy,82,1.9,7872
Air India,Mumbai,Jaipur,Morning (06-12),Morning (06-12),1 stop,Economy,49,2.8,7379
AirAsia India,Kolkata,Delhi,Morning (06-12),Morning (06-12),1 stop,Economy,44,3.2,6313
SpiceJet,Jaipur,Delhi,Afternoon (12-18),Afternoon (12-18),non-stop,Business,44,0.8,4873
SpiceJet,Bangalore,Delhi,Evening (18-21),Night (21-00),1 stop,Economy,87,2.4,4887
SpiceJet,Jaipur,Ahmedabad,Morning (06-12),Morning (06-12),non-stop,Economy,13,0.8,5047
SpiceJet,Delhi,Chennai,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,83,1.4,4399
Vistara,Jaipur,Bangalore,Morning (06-12),Morning (06-12),1 stop,Economy,71,4.1,9853
GoFirst,Hyderabad,Mumbai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,56,3.2,4761
GoFirst,Mumbai,Goa,Evening (18-21),Night (21-00),1 stop,Economy,44,3.2,5052
AirAsia India,Delhi,Chennai,Night (21-00),Night (21-00),non-stop,Economy,57,1.5,4927
GoFirst,Chennai,Kolkata,Morning (06-12),Morning (06-12),non-stop,Economy,10,2.1,7362
Vistara,Ahmedabad,Goa,Evening (18-21),Evening (18-21),non-stop,Economy,65,1.8,7900
IndiGo,Ahmedabad,Kolkata,Night (21-00),Night (21-00),non-stop,Economy,34,1.4,5051
GoFirst,Jaipur,Delhi,Morning (06-12),Morning (06-12),non-stop,Economy,12,0.8,4121
SpiceJet,Jaipur,Ahmedabad,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,45,2.1,3936
SpiceJet,Jaipur,Mumbai,Morning (06-12),Morning (06-12),1 stop,Economy,87,3.1,5692
IndiGo,Pune,Chennai,Evening (18-21),Night (21-00),1 stop,Business,28,3.0,9758
Air India,Pune,Goa,Morning (06-12),Morning (06-12),1 stop,Economy,83,3.0,7064
Vistara,Delhi,Mumbai,Evening (18-21),Night (21-00),non-stop,Economy,57,2.1,8690
Air India,Goa,Delhi,Morning (06-12),Morning (06-12),non-stop,Economy,75,2.7,9563
AirAsia India,Mumbai,Kolkata,Night (21-00),Early Morning (00-06),1 stop,Business,62,3.4,6413
GoFirst,Bangalore,Pune,Night (21-00),Early Morning (00-06),1 stop,Business,33,2.2,6958
Vistara,Kolkata,Goa,Evening (18-21),Night (21-00),2+ stops,Business,64,4.4,9703
Vistara,Chennai,Goa,Morning (06-12),Morning (06-12),1 stop,Economy,82,2.9,7471
GoFirst,Goa,Ahmedabad,Evening (18-21),Evening (18-21),non-stop,Economy,39,1.7,6211
Vistara,Jaipur,Chennai,Morning (06-12),Morning (06-12),1 stop,Economy,28,4.3,9760
Air India,Ahmedabad,Mumbai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,67,2.1,6663
IndiGo,Bangalore,Chennai,Evening (18-21),Evening (18-21),1 stop,Business,90,2.2,5240
Vistara,Hyderabad,Kolkata,Afternoon (12-18),Afternoon (12-18),non-stop,Business,1,2.1,18457
SpiceJet,Jaipur,Goa,Night (21-00),Night (21-00),non-stop,Economy,41,1.4,5126
SpiceJet,Ahmedabad,Bangalore,Night (21-00),Early Morning (00-06),1 stop,Economy,19,2.9,4482
Air India,Ahmedabad,Chennai,Night (21-00),Early Morning (00-06),1 stop,Business,84,2.6,8789
GoFirst,Ahmedabad,Goa,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,68,3.2,5098
IndiGo,Bangalore,Jaipur,Afternoon (12-18),Evening (18-21),1 stop,Economy,24,4.4,7097
Air India,Jaipur,Delhi,Night (21-00),Night (21-00),non-stop,Economy,69,0.8,4998
IndiGo,Jaipur,Goa,Evening (18-21),Night (21-00),1 stop,Economy,10,2.8,5477
GoFirst,Hyderabad,Bangalore,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,76,1.0,4185
IndiGo,Chennai,Ahmedabad,Morning (06-12),Morning (06-12),non-stop,Economy,25,1.3,6047
IndiGo,Kolkata,Hyderabad,Night (21-00),Early Morning (00-06),1 stop,Economy,16,3.6,5580
Air India,Mumbai,Goa,Early Morning (00-06),Morning (06-12),2+ stops,Economy,17,4.1,6589
IndiGo,Chennai,Kolkata,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,36,3.4,5434
Air India,Ahmedabad,Pune,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,39,2.8,7078
Air India,Jaipur,Goa,Night (21-00),Night (21-00),non-stop,Economy,3,1.5,7533
GoFirst,Pune,Delhi,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,32,2.2,5423
IndiGo,Bangalore,Chennai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,14,0.8,4873
AirAsia India,Jaipur,Delhi,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,69,2.0,3411
GoFirst,Bangalore,Hyderabad,Evening (18-21),Evening (18-21),non-stop,Business,89,0.8,6820
Air India,Ahmedabad,Kolkata,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,78,3.2,7087
SpiceJet,Bangalore,Mumbai,Evening (18-21),Night (21-00),1 stop,Economy,12,2.7,5074
SpiceJet,Delhi,Pune,Early Morning (00-06),Early Morning (00-06),non-stop,Business,69,1.9,8321
SpiceJet,Kolkata,Chennai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,68,1.8,5947
SpiceJet,Kolkata,Jaipur,Evening (18-21),Evening (18-21),non-stop,Economy,74,1.5,5505
Air India,Kolkata,Chennai,Evening (18-21),Evening (18-21),non-stop,Economy,90,1.7,8244
IndiGo,Pune,Bangalore,Morning (06-12),Morning (06-12),1 stop,Economy,2,2.9,6136
AirAsia India,Goa,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Business,41,1.5,8923
Vistara,Bangalore,Mumbai,Night (21-00),Night (21-00),non-stop,Business,79,1.1,10486
AirAsia India,Jaipur,Hyderabad,Afternoon (12-18),Afternoon (12-18),1 stop,Business,65,3.2,8513
GoFirst,Kolkata,Bangalore,Night (21-00),Early Morning (00-06),non-stop,Economy,30,2.5,6875
IndiGo,Hyderabad,Ahmedabad,Early Morning (00-06),Early Morning (00-06),1 stop,Business,10,3.2,7580
Air India,Kolkata,Pune,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,50,3.9,7147
IndiGo,Hyderabad,Goa,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,17,1.8,5781
Air India,Hyderabad,Jaipur,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,52,3.1,6441
Air India,Ahmedabad,Mumbai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,16,1.5,7264
SpiceJet,Hyderabad,Jaipur,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,8,3.2,5570
IndiGo,Kolkata,Goa,Early Morning (00-06),Early Morning (00-06),1 stop,Business,37,3.1,7398
GoFirst,Mumbai,Pune,Morning (06-12),Morning (06-12),1 stop,Economy,37,1.6,3935
AirAsia India,Goa,Jaipur,Night (21-00),Night (21-00),non-stop,Economy,61,1.3,4622
Vistara,Delhi,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,1,1.7,8668
Vistara,Chennai,Mumbai,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,35,2.9,7545
Air India,Pune,Goa,Night (21-00),Early Morning (00-06),1 stop,Economy,88,2.8,6555
GoFirst,Hyderabad,Delhi,Morning (06-12),Morning (06-12),non-stop,Economy,85,1.7,6580
IndiGo,Kolkata,Chennai,Morning (06-12),Afternoon (12-18),2+ stops,Economy,80,4.9,6195
AirAsia India,Jaipur,Chennai,Night (21-00),Early Morning (00-06),1 stop,Economy,23,4.5,5765
GoFirst,Mumbai,Kolkata,Evening (18-21),Night (21-00),1 stop,Economy,33,2.7,4847
Air India,Bangalore,Hyderabad,Evening (18-21),Evening (18-21),non-stop,Economy,11,0.8,6499
AirAsia India,Ahmedabad,Jaipur,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,62,2.5,4297
Air India,Delhi,Bangalore,Morning (06-12),Morning (06-12),non-stop,Business,34,1.4,13037
GoFirst,Pune,Jaipur,Morning (06-12),Morning (06-12),1 stop,Economy,26,2.9,5711
IndiGo,Pune,Chennai,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,25,1.5,5622
GoFirst,Chennai,Goa,Evening (18-21),Night (21-00),1 stop,Economy,86,2.8,5121
SpiceJet,Kolkata,Goa,Night (21-00),Night (21-00),non-stop,Business,45,1.4,8263
AirAsia India,Jaipur,Ahmedabad,Morning (06-12),Morning (06-12),2+ stops,Economy,8,3.9,4676
IndiGo,Ahmedabad,Hyderabad,Evening (18-21),Night (21-00),1 stop,Business,82,3.2,8200
Vistara,Goa,Bangalore,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,40,0.8,6615
SpiceJet,Hyderabad,Mumbai,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,61,1.1,4957
Air India,Chennai,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Economy,83,3.2,7277
Vistara,Jaipur,Kolkata,Night (21-00),Night (21-00),non-stop,Economy,3,1.7,8051
Air India,Chennai,Kolkata,Morning (06-12),Morning (06-12),non-stop,Economy,11,1.8,8987
SpiceJet,Jaipur,Ahmedabad,Night (21-00),Night (21-00),non-stop,Economy,76,1.1,4463
IndiGo,Goa,Mumbai,Morning (06-12),Morning (06-12),non-stop,Business,18,1.4,11259
AirAsia India,Kolkata,Goa,Afternoon (12-18),Evening (18-21),2+ stops,Economy,1,4.7,5418
GoFirst,Goa,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Economy,4,3.0,6264
Vistara,Goa,Chennai,Evening (18-21),Evening (18-21),non-stop,Economy,1,1.0,8877
GoFirst,Chennai,Bangalore,Night (21-00),Night (21-00),1 stop,Business,48,2.1,4693
SpiceJet,Ahmedabad,Jaipur,Night (21-00),Night (21-00),non-stop,Economy,18,0.9,4541
AirAsia India,Kolkata,Hyderabad,Evening (18-21),Night (21-00),non-stop,Economy,61,1.9,5888
Vistara,Chennai,Bangalore,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,35,0.8,6314
Vistara,Pune,Bangalore,Afternoon (12-18),Afternoon (12-18),1 stop,Business,10,2.6,10355
GoFirst,Bangalore,Mumbai,Morning (06-12),Morning (06-12),non-stop,Economy,48,1.6,6064
AirAsia India,Mumbai,Ahmedabad,Evening (18-21),Night (21-00),1 stop,Economy,51,2.9,4318
AirAsia India,Delhi,Chennai,Early Morning (00-06),Early Morning (00-06),1 stop,Business,61,3.2,6627
Air India,Ahmedabad,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,41,1.5,7184
AirAsia India,Goa,Kolkata,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,65,3.0,4525
AirAsia India,Mumbai,Delhi,Night (21-00),Early Morning (00-06),2+ stops,Economy,50,5.1,5056
SpiceJet,Ahmedabad,Kolkata,Evening (18-21),Night (21-00),2+ stops,Economy,56,4.7,4878
Air India,Hyderabad,Pune,Morning (06-12),Morning (06-12),1 stop,Economy,43,2.1,6300
Vistara,Hyderabad,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Business,56,1.6,11424
IndiGo,Bangalore,Hyderabad,Evening (18-21),Evening (18-21),non-stop,Economy,57,1.1,4941
AirAsia India,Hyderabad,Ahmedabad,Night (21-00),Early Morning (00-06),2+ stops,Economy,64,4.4,4282
AirAsia India,Mumbai,Bangalore,Evening (18-21),Evening (18-21),non-stop,Economy,50,1.3,5513
Vistara,Chennai,Hyderabad,Afternoon (12-18),Evening (18-21),2+ stops,Economy,72,3.6,6344
SpiceJet,Ahmedabad,Jaipur,Evening (18-21),Evening (18-21),1 stop,Economy,36,2.4,4734
GoFirst,Goa,Kolkata,Evening (18-21),Evening (18-21),non-stop,Economy,88,1.0,5583
Vistara,Chennai,Pune,Morning (06-12),Morning (06-12),1 stop,Economy,44,3.1,7877
IndiGo,Delhi,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Economy,56,2.7,5775
IndiGo,Mumbai,Hyderabad,Evening (18-21),Night (21-00),1 stop,Business,15,3.2,8903
Vistara,Goa,Chennai,Morning (06-12),Morning (06-12),1 stop,Economy,76,3.1,7454
IndiGo,Bangalore,Mumbai,Evening (18-21),Evening (18-21),non-stop,Economy,13,1.8,6342
Vistara,Goa,Kolkata,Evening (18-21),Night (21-00),2+ stops,Business,77,4.3,9659
AirAsia India,Ahmedabad,Chennai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,80,1.5,4917
AirAsia India,Jaipur,Kolkata,Afternoon (12-18),Evening (18-21),2+ stops,Business,76,4.7,7202
GoFirst,Hyderabad,Goa,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,84,1.3,4516
GoFirst,Goa,Mumbai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,54,3.0,4313
GoFirst,Delhi,Jaipur,Morning (06-12),Morning (06-12),non-stop,Business,23,0.8,5232
Air India,Pune,Chennai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,2,3.2,7567
AirAsia India,Pune,Mumbai,Night (21-00),Night (21-00),1 stop,Economy,43,1.7,2809
Vistara,Jaipur,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Economy,52,3.4,8260
IndiGo,Kolkata,Delhi,Evening (18-21),Evening (18-21),non-stop,Economy,9,1.8,6767
GoFirst,Jaipur,Goa,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,42,1.7,5350
SpiceJet,Delhi,Mumbai,Morning (06-12),Morning (06-12),1 stop,Economy,23,3.5,6652
AirAsia India,Chennai,Bangalore,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,88,0.8,3499
Vistara,Delhi,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,38,1.8,8733
SpiceJet,Hyderabad,Chennai,Morning (06-12),Morning (06-12),1 stop,Economy,60,2.3,4501
SpiceJet,Delhi,Bangalore,Early Morning (00-06),Morning (06-12),2+ stops,Economy,80,4.2,4444
SpiceJet,Jaipur,Ahmedabad,Evening (18-21),Evening (18-21),non-stop,Economy,25,1.0,5067
Air India,Bangalore,Hyderabad,Night (21-00),Night (21-00),non-stop,Business,15,1.0,7864
Vistara,Goa,Mumbai,Morning (06-12),Afternoon (12-18),2+ stops,Business,87,4.3,10293
AirAsia India,Jaipur,Mumbai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,49,1.3,5255
GoFirst,Delhi,Chennai,Night (21-00),Early Morning (00-06),1 stop,Economy,52,3.1,5079
IndiGo,Goa,Chennai,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,87,1.4,4822
Vistara,Bangalore,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,52,1.2,7344
GoFirst,Chennai,Ahmedabad,Night (21-00),Night (21-00),non-stop,Business,69,1.5,7723
IndiGo,Ahmedabad,Bangalore,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,90,3.1,5359
GoFirst,Kolkata,Goa,Morning (06-12),Morning (06-12),non-stop,Economy,31,1.5,5972
AirAsia India,Ahmedabad,Chennai,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,54,1.5,4636
AirAsia India,Kolkata,Bangalore,Night (21-00),Early Morning (00-06),1 stop,Economy,17,4.0,5686
IndiGo,Kolkata,Delhi,Night (21-00),Early Morning (00-06),1 stop,Economy,72,3.5,5352
SpiceJet,Delhi,Kolkata,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,58,1.9,6416
Air India,Chennai,Hyderabad,Afternoon (12-18),Afternoon (12-18),1 stop,Business,17,2.3,8181
SpiceJet,Bangalore,Delhi,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,32,1.3,5001
SpiceJet,Mumbai,Delhi,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,58,1.6,6302
AirAsia India,Hyderabad,Jaipur,Afternoon (12-18),Afternoon (12-18),non-stop,Business,4,1.5,12070
GoFirst,Mumbai,Hyderabad,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,66,1.5,5394
IndiGo,Bangalore,Pune,Morning (06-12),Morning (06-12),non-stop,Economy,39,1.4,5905
GoFirst,Pune,Chennai,Morning (06-12),Morning (06-12),non-stop,Economy,23,1.1,6446
Air India,Jaipur,Chennai,Morning (06-12),Morning (06-12),1 stop,Economy,63,4.5,8924
GoFirst,Kolkata,Jaipur,Afternoon (12-18),Evening (18-21),2+ stops,Economy,11,4.7,5069
IndiGo,Pune,Delhi,Morning (06-12),Morning (06-12),non-stop,Business,23,2.0,13670
AirAsia India,Jaipur,Mumbai,Night (21-00),Early Morning (00-06),1 stop,Economy,74,2.8,4309
IndiGo,Jaipur,Bangalore,Evening (18-21),Night (21-00),non-stop,Economy,75,2.8,7173
Vistara,Jaipur,Mumbai,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,18,1.5,7807
AirAsia India,Jaipur,Hyderabad,Morning (06-12),Morning (06-12),non-stop,Economy,79,1.8,5897
AirAsia India,Ahmedabad,Delhi,Night (21-00),Night (21-00),non-stop,Economy,8,1.0,4868
Vistara,Chennai,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Business,37,2.9,12506
AirAsia India,Hyderabad,Bangalore,Night (21-00),Night (21-00),1 stop,Economy,27,2.3,4069
IndiGo,Kolkata,Hyderabad,Morning (06-12),Morning (06-12),non-stop,Economy,69,2.2,7406
SpiceJet,Pune,Mumbai,Night (21-00),Night (21-00),non-stop,Business,22,0.8,3741
IndiGo,Pune,Bangalore,Afternoon (12-18),Afternoon (12-18),1 stop,Business,79,2.8,7695
Vistara,Mumbai,Bangalore,Night (21-00),Night (21-00),non-stop,Economy,37,1.5,6718
Vistara,Bangalore,Hyderabad,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,53,2.2,6567
Air India,Mumbai,Bangalore,Evening (18-21),Night (21-00),1 stop,Economy,16,3.1,7012
GoFirst,Hyderabad,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Economy,81,2.7,5303
Air India,Pune,Mumbai,Morning (06-12),Morning (06-12),1 stop,Economy,26,1.6,5302
SpiceJet,Bangalore,Hyderabad,Morning (06-12),Morning (06-12),2+ stops,Business,49,4.0,6779
AirAsia India,Hyderabad,Pune,Evening (18-21),Evening (18-21),1 stop,Economy,60,2.3,4207
IndiGo,Kolkata,Chennai,Night (21-00),Early Morning (00-06),1 stop,Business,27,3.3,9522
Air India,Jaipur,Mumbai,Evening (18-21),Evening (18-21),non-stop,Economy,73,1.7,7409
Vistara,Pune,Mumbai,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,27,1.9,5803
Air India,Chennai,Hyderabad,Night (21-00),Night (21-00),non-stop,Economy,78,1.0,6088
AirAsia India,Ahmedabad,Kolkata,Evening (18-21),Night (21-00),2+ stops,Economy,80,4.6,4357
Vistara,Mumbai,Pune,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,16,0.8,5598
SpiceJet,Pune,Kolkata,Evening (18-21),Night (21-00),non-stop,Economy,14,2.3,6537
GoFirst,Hyderabad,Ahmedabad,Afternoon (12-18),Afternoon (12-18),non-stop,Business,31,1.5,9004
AirAsia India,Kolkata,Ahmedabad,Night (21-00),Early Morning (00-06),2+ stops,Economy,73,4.7,4196
AirAsia India,Mumbai,Kolkata,Evening (18-21),Evening (18-21),non-stop,Economy,1,1.3,6670
SpiceJet,Pune,Kolkata,Afternoon (12-18),Evening (18-21),1 stop,Business,20,4.1,12248
Air India,Chennai,Delhi,Early Morning (00-06),Early Morning (00-06),1 stop,Business,8,2.8,9067
SpiceJet,Bangalore,Kolkata,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,20,2.8,7336
AirAsia India,Bangalore,Pune,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,60,2.5,4638
GoFirst,Kolkata,Bangalore,Evening (18-21),Night (21-00),1 stop,Economy,26,4.0,6669
IndiGo,Hyderabad,Jaipur,Afternoon (12-18),Afternoon (12-18),1 stop,Business,79,2.9,9266
Air India,Goa,Kolkata,Morning (06-12),Morning (06-12),1 stop,Economy,46,3.3,7593
Vistara,Delhi,Hyderabad,Afternoon (12-18),Afternoon (12-18),non-stop,Business,7,1.7,15441
IndiGo,Goa,Kolkata,Evening (18-21),Evening (18-21),non-stop,Business,46,1.5,10733
GoFirst,Jaipur,Kolkata,Early Morning (00-06),Morning (06-12),2+ stops,Economy,49,4.2,4948
Vistara,Kolkata,Goa,Night (21-00),Night (21-00),non-stop,Economy,57,1.3,7276
SpiceJet,Delhi,Chennai,Afternoon (12-18),Afternoon (12-18),1 stop,Business,80,2.9,8174
IndiGo,Bangalore,Pune,Morning (06-12),Morning (06-12),1 stop,Economy,38,2.2,5257
AirAsia India,Delhi,Bangalore,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,7,1.2,4948
SpiceJet,Hyderabad,Delhi,Early Morning (00-06),Early Morning (00-06),non-stop,Economy,4,1.6,5754
Air India,Hyderabad,Delhi,Morning (06-12),Afternoon (12-18),2+ stops,Economy,24,4.8,7687
SpiceJet,Jaipur,Mumbai,Evening (18-21),Evening (18-21),non-stop,Economy,47,1.4,5957
GoFirst,Delhi,Ahmedabad,Morning (06-12),Morning (06-12),1 stop,Economy,30,2.9,5509
Vistara,Hyderabad,Mumbai,Morning (06-12),Morning (06-12),non-stop,Business,1,1.2,16269
Vistara,Ahmedabad,Jaipur,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,30,2.4,7175
GoFirst,Kolkata,Ahmedabad,Early Morning (00-06),Morning (06-12),2+ stops,Economy,29,4.3,4649
Air India,Hyderabad,Ahmedabad,Night (21-00),Night (21-00),non-stop,Economy,7,1.4,7422
GoFirst,Goa,Delhi,Evening (18-21),Night (21-00),non-stop,Business,68,2.6,13622
Air India,Ahmedabad,Kolkata,Morning (06-12),Morning (06-12),1 stop,Economy,25,2.9,7369
SpiceJet,Pune,Bangalore,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,32,2.8,4443
GoFirst,Goa,Pune,Morning (06-12),Morning (06-12),non-stop,Economy,3,1.3,7152
SpiceJet,Kolkata,Pune,Night (21-00),Early Morning (00-06),2+ stops,Business,8,5.3,9738
Vistara,Bangalore,Kolkata,Afternoon (12-18),Afternoon (12-18),non-stop,Economy,77,2.6,9093
AirAsia India,Mumbai,Goa,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,80,2.8,4375
IndiGo,Mumbai,Goa,Early Morning (00-06),Early Morning (00-06),1 stop,Economy,78,2.8,4454
SpiceJet,Kolkata,Chennai,Afternoon (12-18),Afternoon (12-18),non-stop,Business,43,1.8,11557
Vistara,Jaipur,Bangalore,Afternoon (12-18),Evening (18-21),1 stop,Economy,84,4.1,8835
IndiGo,Mumbai,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Economy,48,2.9,5671
GoFirst,Jaipur,Hyderabad,Morning (06-12),Morning (06-12),1 stop,Economy,45,3.4,6141
GoFirst,Mumbai,Goa,Afternoon (12-18),Afternoon (12-18),1 stop,Economy,26,2.9,5200
Vistara,Ahmedabad,Goa,Early Morning (00-06),Early Morning (00-06),non-stop,Business,23,1.5,10434
